Season,Name,GAA Better Than Expected,High Danger Unblocked Shot Attempt Save % Above Expected,Wins Above Replacement,xGAA
2017-18,Antti Raanta,0.69,0.089,5.02,2.93
2017-18,Unknown,-0.68,-0.150,-4.70,2.49
2017-18,Roberto Luongo,0.42,0.068,2.29,2.89
2017-18,Pekka Rinne,0.34,0.065,3.32,2.66
2017-18,Ben Bishop,0.04,0.057,0.34,2.53
2017-18,Carter Hutton,0.41,0.046,1.83,2.50
2017-18,Anton Forsberg,-0.22,0.044,-1.05,2.75
2017-18,Semyon Varlamov,0.12,0.040,0.97,2.81
2017-18,Henrik Lundqvist,-0.17,0.037,-1.66,2.81
2017-18,Cam Talbot,-0.04,0.032,-0.38,2.99
2017-18,Connor Hellebuyck,0.16,0.032,1.77,2.52
2017-18,Cory Schneider,-0.23,0.030,-1.46,2.73
2017-18,Jonathan Quick,0.39,0.029,3.95,2.80
2017-18,Sergei Bobrovsky,0.33,0.024,3.54,2.75
2017-18,Marc-Andre Fleury,0.38,0.023,2.78,2.64
2017-18,Robin Lehner,-0.30,0.018,-2.34,2.71
2017-18,Jacob Markstrom,-0.11,0.017,-1.03,2.60
2017-18,Matt Murray,-0.12,0.013,-0.92,2.80
2017-18,Philipp Grubauer,0.60,0.008,3.09,2.97
2017-18,Tuukka Rask,0.12,0.003,1.07,2.48
2017-18,Jimmy Howard,-0.11,0.001,-1.01,2.74
2017-18,Mike Condon,-0.33,0.000,-1.51,2.91
2017-18,Braden Holtby,-0.09,-0.000,-0.74,2.91
2017-18,Anton Khudobin,0.03,-0.001,0.17,2.59
2017-18,John Gibson,0.38,-0.003,3.64,2.81
2017-18,Kari Lehtonen,-0.17,-0.005,-0.90,2.40
2017-18,Mike Smith,0.27,-0.005,2.38,2.92
2017-18,Brian Elliott,0.08,-0.008,0.58,2.75
2017-18,Jake Allen,-0.36,-0.009,-3.32,2.40
2017-18,James Reimer,-0.01,-0.013,-0.07,2.98
2017-18,Martin Jones,0.00,-0.017,0.01,2.56
2017-18,Craig Anderson,-0.43,-0.023,-3.86,2.89
2017-18,Jonathan Bernier,-0.36,-0.024,-1.93,2.55
2017-18,Frederik Andersen,0.15,-0.028,1.58,2.95
2017-18,Keith Kinkaid,-0.09,-0.035,-0.58,2.68
2017-18,Andrei Vasilevskiy,0.06,-0.036,0.65,2.68
2017-18,Carey Price,-0.62,-0.051,-4.89,2.49
2017-18,Petr Mrazek,-0.23,-0.060,-1.26,2.84
2017-18,Devan Dubnyk,-0.13,-0.064,-1.29,2.39
2017-18,Jaroslav Halak,-0.29,-0.075,-2.43,2.92
2017-18,Cam Ward,-0.31,-0.083,-2.09,2.43
2017-18,Chad Johnson,-0.63,-0.100,-3.10,2.92
2017-18,Scott Darling,-0.68,-0.150,-4.70,2.49
