Season,Name,GAA Better Than Expected,High Danger Unblocked Shot Attempt Save % Above Expected,Wins Above Replacement,xGAA
2010-11,Tim Thomas,0.71,0.040,6.59,2.70
2010-11,Unknown,-0.59,-0.230,-4.94,2.45
2010-11,Cam Ward,0.36,-0.013,4.31,2.96
2010-11,Jonas Hiller,0.47,-0.015,3.45,3.03
2010-11,Carey Price,0.29,-0.048,3.42,2.65
2010-11,Roberto Luongo,0.31,-0.085,3.10,2.42
2010-11,Pekka Rinne,0.25,0.008,2.64,2.37
2010-11,Ilya Bryzgalov,0.21,-0.043,2.39,2.70
2010-11,Corey Crawford,0.20,-0.042,1.88,2.51
2010-11,Henrik Lundqvist,0.16,-0.031,1.74,2.46
2010-11,Sergei Bobrovsky,0.16,-0.024,1.36,2.75
2010-11,Tomas Vokoun,0.15,-0.011,1.35,2.70
2010-11,Niklas Backstrom,0.12,-0.040,0.99,2.78
2010-11,Jonathan Quick,0.09,0.031,0.86,2.33
2010-11,Ryan Miller,0.08,0.036,0.81,2.66
2010-11,Jaroslav Halak,0.06,0.005,0.55,2.54
2010-11,Ondrej Pavelec,0.05,-0.013,0.42,2.78
2010-11,Marc-Andre Fleury,0.00,-0.037,0.02,2.32
2010-11,Michal Neuvirth,-0.00,-0.015,-0.01,2.49
2010-11,Kari Lehtonen,-0.02,-0.013,-0.26,2.54
2010-11,Antti Niemi,-0.04,-0.070,-0.39,2.34
2010-11,Dwayne Roloson,-0.11,-0.061,-0.96,2.48
2010-11,Craig Anderson,-0.13,-0.105,-1.05,2.70
2010-11,Jimmy Howard,-0.20,-0.079,-1.99,2.59
2010-11,Peter Budaj,-0.42,-0.050,-2.88,2.77
2010-11,Dan Ellis,-0.43,-0.135,-2.90,2.33
2010-11,Martin Brodeur,-0.36,-0.009,-3.13,2.08
2010-11,Nikolai Khabibulin,-0.43,-0.084,-3.21,2.99
2010-11,Brian Elliott,-0.47,-0.033,-3.91,2.87
2010-11,Miikka Kiprusoff,-0.35,-0.099,-4.06,2.28
2010-11,Steve Mason,-0.59,-0.230,-4.94,2.45
,
