Season,Name,GAA Better Than Expected,High Danger Unblocked Shot Attempt Save % Above Expected,Wins Above Replacement,xGAA
2018-19,Sergei Bobrovsky,0.11,0.120,1.11,2.71
2018-19,Unknown,-0.39,-0.105,-1.95,2.70
2018-19,Curtis McElhinney,0.29,0.104,1.59,2.87
2018-19,Jonathan Bernier,-0.19,0.091,-0.98,3.07
2018-19,Mike Smith,-0.05,0.076,-0.37,2.67
2018-19,Robin Lehner,0.37,0.074,2.64,2.52
2018-19,David Rittich,0.14,0.064,0.95,2.75
2018-19,Casey DeSmith,0.01,0.060,0.07,2.77
2018-19,Ben Bishop,0.36,0.057,2.64,2.39
2018-19,Carter Hart,-0.05,0.055,-0.22,2.82
2018-19,Mikko Koskinen,-0.14,0.048,-1.15,2.83
2018-19,Jaroslav Halak,0.31,0.047,1.96,2.67
2018-19,Anton Khudobin,0.15,0.035,0.93,2.72
2018-19,Juuse Saros,0.15,0.033,0.72,2.81
2018-19,John Gibson,0.25,0.033,2.22,3.09
2018-19,Pekka Rinne,0.24,0.032,2.09,2.69
2018-19,Alexandar Georgiev,-0.05,0.020,-0.24,2.87
2018-19,Braden Holtby,0.20,0.019,1.91,3.02
2018-19,Andrei Vasilevskiy,0.31,0.018,2.71,2.73
2018-19,Jonathan Quick,-0.56,0.016,-4.05,2.92
2018-19,Martin Jones,-0.38,0.015,-3.77,2.59
2018-19,Carey Price,0.05,0.015,0.58,2.57
2018-19,Jimmy Howard,0.05,0.012,0.43,3.12
2018-19,Thomas Greiss,0.37,0.011,2.30,2.68
2018-19,Anders Nilsson,-0.24,0.007,-1.33,2.79
2018-19,Darcy Kuemper,0.15,0.006,1.37,2.50
2018-19,Henrik Lundqvist,-0.30,0.002,-2.61,2.77
2018-19,Jacob Markstrom,-0.03,-0.001,-0.27,2.76
2018-19,Jack Campbell,0.40,-0.002,1.79,2.71
2018-19,Semyon Varlamov,-0.10,-0.002,-0.79,2.81
2018-19,Frederik Andersen,0.21,-0.004,2.00,3.03
2018-19,Jordan Binnington,0.21,-0.004,1.09,2.12
2018-19,Marc-Andre Fleury,0.10,-0.006,1.02,2.66
2018-19,Cam Ward,-0.45,-0.007,-2.35,3.25
2018-19,Linus Ullmark,-0.43,-0.007,-2.51,2.69
2018-19,Connor Hellebuyck,-0.11,-0.008,-1.13,2.79
2018-19,Corey Crawford,-0.09,-0.009,-0.57,2.86
2018-19,Petr Mrazek,0.07,-0.014,0.49,2.46
2018-19,Matt Murray,0.03,-0.014,0.24,2.72
2018-19,Devan Dubnyk,-0.26,-0.015,-2.72,2.33
2018-19,Roberto Luongo,-0.43,-0.029,-2.76,2.72
2018-19,Cam Talbot,-0.63,-0.029,-3.32,2.81
2018-19,Jake Allen,-0.23,-0.030,-1.63,2.62
2018-19,Craig Anderson,-0.36,-0.032,-2.82,3.15
2018-19,Tuukka Rask,-0.05,-0.036,-0.35,2.46
2018-19,Carter Hutton,-0.18,-0.047,-1.44,2.82
2018-19,Philipp Grubauer,-0.04,-0.048,-0.22,2.63
2018-19,Keith Kinkaid,-0.57,-0.071,-3.56,2.86
2018-19,James Reimer,-0.39,-0.105,-1.95,2.70
