Season,Name,GAA Better Than Expected,High Danger Unblocked Shot Attempt Save % Above Expected,Wins Above Replacement,xGAA
2023-24,Anthony Stolarz,0.80,0.093,3.34,2.83
2023-24,Unknown,-0.63,0.076,-3.04,3.29
2023-24,Connor Hellebuyck,0.56,0.068,5.52,2.95
2023-24,Thatcher Demko,0.44,0.111,3.67,2.88
2023-24,Jeremy Swayman,0.43,0.057,3.07,2.96
2023-24,Joel Hofer,0.38,0.090,1.72,3.03
2023-24,Linus Ullmark,0.37,0.015,2.46,2.94
2023-24,Jonathan Quick,0.37,0.174,1.64,2.99
2023-24,Semyon Varlamov,0.34,0.057,1.52,2.94
2023-24,Jordan Binnington,0.30,0.095,2.75,3.14
2023-24,Jacob Markstrom,0.29,0.092,2.28,3.07
2023-24,Joseph Woll,0.29,0.120,1.20,3.23
2023-24,Sergei Bobrovsky,0.27,0.044,2.59,2.65
2023-24,Igor Shesterkin,0.22,0.107,2.01,2.80
2023-24,Charlie Lindgren,0.22,0.152,1.76,2.89
2023-24,Cam Talbot,0.21,0.082,1.79,2.71
2023-24,Adin Hill,0.20,0.115,1.07,2.91
2023-24,Connor Ingram,0.18,0.086,1.39,3.09
2023-24,Ukko-Pekka Luukkonen,0.18,0.050,1.57,2.75
2023-24,Logan Thompson,0.10,0.056,0.76,2.80
2023-24,Sam Montembeault,0.08,0.122,0.56,3.22
2023-24,Joey Daccord,0.08,0.060,0.63,2.54
2023-24,Alexandar Georgiev,0.08,0.057,0.83,3.10
2023-24,Tristan Jarry,0.06,0.057,0.44,2.97
2023-24,Mackenzie Blackwood,0.06,0.103,0.41,3.51
2023-24,Alex Lyon,0.05,0.131,0.35,3.10
2023-24,Jake Oettinger,0.04,0.091,0.32,2.76
2023-24,Stuart Skinner,0.04,0.086,0.33,2.66
2023-24,Kaapo Kahkonen,0.04,0.143,0.23,3.68
2023-24,Ilya Sorokin,0.03,0.105,0.24,3.04
2023-24,Petr Mrazek,0.03,0.117,0.27,3.08
2023-24,Pyotr Kochetkov,0.02,0.094,0.11,2.34
2023-24,James Reimer,-0.01,0.095,-0.04,3.09
2023-24,Casey DeSmith,-0.02,0.075,-0.07,2.87
2023-24,Carter Hart,-0.03,0.102,-0.12,2.77
2023-24,Juuse Saros,-0.05,0.075,-0.49,2.81
2023-24,Andrei Vasilevskiy,-0.05,0.081,-0.42,2.85
2023-24,Jake Allen,-0.06,0.078,-0.32,3.38
2023-24,Alex Nedeljkovic,-0.10,0.011,-0.55,2.87
2023-24,Samuel Ersson,-0.10,0.093,-0.79,2.72
2023-24,Filip Gustavsson,-0.11,0.059,-0.81,2.95
2023-24,Lukas Dostal,-0.14,0.065,-0.88,3.20
2023-24,Darcy Kuemper,-0.15,0.095,-0.80,3.16
2023-24,Elvis Merzlikins,-0.17,0.076,-1.06,3.28
2023-24,Philipp Grubauer,-0.18,0.061,-0.97,2.68
2023-24,Karel Vejmelka,-0.20,0.072,-1.11,3.16
2023-24,Ilya Samsonov,-0.21,0.071,-1.36,2.92
2023-24,John Gibson,-0.22,0.078,-1.60,3.31
2023-24,Anton Forsberg,-0.28,0.062,-1.22,2.93
2023-24,Marc-Andre Fleury,-0.30,0.026,-1.85,2.68
2023-24,Joonas Korpisalo,-0.31,0.105,-2.68,2.96
2023-24,Scott Wedgewood,-0.31,-0.004,-1.56,2.54
2023-24,Jonas Johansson,-0.36,0.123,-1.48,3.01
2023-24,Vitek Vanecek,-0.37,-0.038,-1.86,2.81
2023-24,Arvid Soderblom,-0.63,0.076,-3.04,3.29
