Season,Name,GAA Better Than Expected,High Danger Unblocked Shot Attempt Save % Above Expected,Wins Above Replacement,xGAA
2013-14,Semyon Varlamov,0.44,-0.012,4.44,2.86
2013-14,Unknown,-0.74,-0.001,-3.69,2.69
2013-14,Kari Lehtonen,0.43,0.101,4.55,2.84
2013-14,Ben Scrivens,0.41,0.062,2.50,2.96
2013-14,Anton Khudobin,0.37,-0.069,2.13,2.67
2013-14,Jonathan Bernier,0.36,0.008,3.04,3.05
2013-14,Carey Price,0.33,0.052,3.21,2.65
2013-14,Ben Bishop,0.27,0.017,2.64,2.49
2013-14,Henrik Lundqvist,0.24,0.036,2.38,2.62
2013-14,Jonathan Quick,0.21,-0.022,1.70,2.28
2013-14,Tuukka Rask,0.18,-0.086,1.68,2.22
2013-14,Jaroslav Halak,0.17,0.076,1.37,2.42
2013-14,Mike Smith,0.16,0.001,1.59,2.80
2013-14,Cory Schneider,0.10,-0.089,0.74,2.07
2013-14,Brian Elliott,0.06,-0.029,0.28,2.02
2013-14,Ilya Bryzgalov,0.06,-0.053,0.30,2.74
2013-14,Roberto Luongo,0.03,-0.062,0.28,2.43
2013-14,Braden Holtby,0.02,-0.036,0.17,2.87
2013-14,Jonas Hiller,0.02,-0.039,0.18,2.50
2013-14,James Reimer,0.02,0.033,0.10,3.31
2013-14,Corey Crawford,-0.04,-0.025,-0.38,2.22
2013-14,Steve Mason,-0.05,-0.004,-0.47,2.45
2013-14,Ryan Miller,-0.06,-0.027,-0.63,2.58
2013-14,Karri Ramo,-0.06,-0.055,-0.34,2.60
2013-14,Eddie Lack,-0.06,-0.098,-0.42,2.34
2013-14,Marc-Andre Fleury,-0.06,-0.004,-0.68,2.31
2013-14,Sergei Bobrovsky,-0.11,-0.041,-1.03,2.27
2013-14,Ondrej Pavelec,-0.11,-0.035,-0.95,2.91
2013-14,Antti Niemi,-0.13,0.001,-1.37,2.27
2013-14,Jimmy Howard,-0.14,-0.071,-1.16,2.52
2013-14,Evgeni Nabokov,-0.15,-0.102,-0.93,2.62
2013-14,Craig Anderson,-0.21,-0.048,-1.71,2.80
2013-14,Robin Lehner,-0.23,0.028,-1.22,2.86
2013-14,Tim Thomas,-0.24,-0.083,-1.72,2.68
2013-14,Cam Ward,-0.30,-0.014,-1.35,2.77
2013-14,Carter Hutton,-0.32,0.008,-1.84,2.30
2013-14,Martin Brodeur,-0.48,-0.041,-3.04,2.03
2013-14,Reto Berra,-0.61,-0.007,-2.90,2.46
2013-14,Devan Dubnyk,-0.74,-0.001,-3.69,2.69
