Season,Name,GAA Better Than Expected,High Danger Unblocked Shot Attempt Save % Above Expected,Wins Above Replacement,xGAA
2008-09,Tim Thomas,0.47,0.072,4.19,2.57
2008-09,Unknown,-0.93,-0.162,-3.73,2.27
2008-09,Craig Anderson,0.37,0.040,1.66,3.08
2008-09,Antero Niittymaki,0.04,0.040,0.18,2.80
2008-09,Yann Danis,0.12,0.038,0.60,2.99
2008-09,Cam Ward,0.28,0.035,3.07,2.74
2008-09,Jaroslav Halak,0.28,0.034,1.50,3.14
2008-09,Erik Ersberg,-0.15,0.033,-0.63,2.49
2008-09,Brian Elliott,-0.29,0.031,-1.36,2.48
2008-09,Tomas Vokoun,0.31,0.030,2.90,2.81
2008-09,Henrik Lundqvist,0.11,0.027,1.28,2.52
2008-09,Dwayne Roloson,0.06,0.026,0.57,2.83
2008-09,Alex Auld,0.05,0.021,0.33,2.48
2008-09,Manny Fernandez,0.10,0.007,0.45,2.69
2008-09,Miikka Kiprusoff,-0.27,0.000,-3.26,2.57
2008-09,Nikolai Khabibulin,0.20,-0.002,1.36,2.56
2008-09,Cristobal Huet,-0.05,-0.002,-0.32,2.50
2008-09,Martin Biron,-0.05,-0.006,-0.48,2.72
2008-09,Roberto Luongo,0.32,-0.006,2.77,2.63
2008-09,Pekka Rinne,-0.04,-0.009,-0.32,2.36
2008-09,Ty Conklin,-0.17,-0.012,-1.01,2.36
2008-09,Jason LaBarbera,-0.28,-0.018,-1.11,2.50
2008-09,Jonas Hiller,0.24,-0.018,1.62,2.63
2008-09,Martin Gerber,-0.05,-0.020,-0.21,2.98
2008-09,Mike Smith,-0.06,-0.026,-0.40,2.57
2008-09,Marc-Andre Fleury,-0.13,-0.027,-1.31,2.54
2008-09,Marty Turco,-0.23,-0.029,-2.69,2.60
2008-09,Ryan Miller,-0.09,-0.031,-0.88,2.49
2008-09,Steve Mason,-0.08,-0.032,-0.83,2.21
2008-09,Jonathan Quick,0.19,-0.034,1.28,2.67
2008-09,Joey MacDonald,-0.51,-0.037,-3.95,2.89
2008-09,Dan Ellis,-0.10,-0.038,-0.57,2.83
2008-09,Chris Mason,0.02,-0.040,0.20,2.43
2008-09,Evgeni Nabokov,-0.15,-0.041,-1.54,2.29
2008-09,Niklas Backstrom,0.02,-0.047,0.23,2.36
2008-09,Scott Clemmensen,-0.08,-0.052,-0.54,2.31
2008-09,Martin Brodeur,-0.09,-0.053,-0.48,2.32
2008-09,Peter Budaj,-0.34,-0.058,-3.00,2.56
2008-09,Carey Price,-0.14,-0.067,-1.18,2.71
2008-09,Chris Osgood,-0.43,-0.072,-3.17,2.66
2008-09,Vesa Toskala,-0.36,-0.073,-2.94,2.95
2008-09,Jose Theodore,-0.23,-0.085,-2.13,2.65
2008-09,Jean-Sebastien Giguere,-0.43,-0.094,-2.92,2.68
2008-09,Kari Lehtonen,-0.10,-0.097,-0.70,2.97
2008-09,Ilya Bryzgalov,-0.34,-0.103,-3.47,2.68
2008-09,Johan Hedberg,-0.62,-0.115,-3.14,2.85
2008-09,Andrew Raycroft,-0.58,-0.121,-2.75,2.57
2008-09,Manny Legace,-0.93,-0.162,-3.73,2.27
