Season,Name,GAA Better Than Expected,High Danger Unblocked Shot Attempt Save % Above Expected,Wins Above Replacement,xGAA
2020-21,Connor Hellebuyck,0.44,0.045,3.21,3.03
2020-21,Unknown,-0.72,-0.057,-3.22,2.34
2020-21,Andrei Vasilevskiy,0.43,0.135,3.04,2.64
2020-21,Marc-Andre Fleury,0.50,0.083,2.99,2.49
2020-21,Mike Smith,0.47,0.115,2.40,2.78
2020-21,Juuse Saros,0.38,0.037,2.19,2.67
2020-21,Thatcher Demko,0.19,0.001,1.13,3.04
2020-21,Philipp Grubauer,0.13,0.088,0.87,2.08
2020-21,Igor Shesterkin,0.09,0.028,0.50,2.72
2020-21,Semyon Varlamov,0.08,0.018,0.45,2.12
2020-21,Jordan Binnington,0.00,0.036,0.01,2.65
2020-21,Cam Talbot,-0.07,0.039,-0.36,2.56
2020-21,Calvin Petersen,-0.09,0.047,-0.51,2.82
2020-21,Thomas Greiss,-0.19,0.027,-0.95,2.51
2020-21,Vitek Vanecek,-0.21,0.030,-1.21,2.49
2020-21,John Gibson,-0.22,-0.055,-1.23,2.77
2020-21,Sergei Bobrovsky,-0.27,-0.056,-1.35,2.64
2020-21,Mackenzie Blackwood,-0.25,-0.059,-1.42,2.80
2020-21,Jacob Markstrom,-0.22,-0.042,-1.54,2.45
2020-21,Anton Khudobin,-0.33,-0.094,-1.67,2.21
2020-21,Tristan Jarry,-0.32,-0.054,-1.96,2.42
2020-21,Joonas Korpisalo,-0.47,-0.047,-2.30,2.82
2020-21,Kevin Lankinen,-0.39,-0.123,-2.38,2.61
2020-21,Martin Jones,-0.61,-0.035,-3.15,2.67
2020-21,Brian Elliott,-0.72,-0.057,-3.22,2.34
