Season,Name,GAA Better Than Expected,High Danger Unblocked Shot Attempt Save % Above Expected,Wins Above Replacement,xGAA
2015-16,Brian Elliott,0.71,0.111,4.47,2.78
2015-16,Unknown,-0.38,-0.186,-4.09,2.10
2015-16,Braden Holtby,0.38,0.083,4.05,2.58
2015-16,Michal Neuvirth,0.35,-0.030,1.76,2.61
2015-16,Cory Schneider,0.34,0.015,3.23,2.49
2015-16,Roberto Luongo,0.32,0.002,3.17,2.67
2015-16,Thomas Greiss,0.32,-0.072,2.03,2.68
2015-16,Steve Mason,0.32,0.031,2.80,2.83
2015-16,Jonathan Quick,0.31,0.072,3.44,2.52
2015-16,Corey Crawford,0.31,0.031,2.82,2.67
2015-16,James Reimer,0.29,0.055,1.85,2.60
2015-16,Ben Bishop,0.24,0.049,2.37,2.30
2015-16,Chad Johnson,0.24,-0.041,1.75,2.61
2015-16,Jacob Markstrom,0.23,0.033,1.20,2.96
2015-16,Petr Mrazek,0.21,-0.031,1.72,2.54
2015-16,Henrik Lundqvist,0.21,-0.007,2.18,2.69
2015-16,Joonas Korpisalo,0.21,0.040,1.07,2.81
2015-16,Jaroslav Halak,0.20,-0.052,1.16,2.50
2015-16,Tuukka Rask,0.16,-0.075,1.64,2.72
2015-16,Cam Talbot,0.11,-0.003,0.96,2.70
2015-16,Ondrej Pavelec,0.11,0.024,0.58,2.89
2015-16,Cam Ward,0.09,0.017,0.79,2.51
2015-16,Martin Jones,0.08,-0.030,0.80,2.35
2015-16,Jake Allen,0.08,0.037,0.60,2.43
2015-16,Marc-Andre Fleury,0.06,0.004,0.59,2.35
2015-16,Semyon Varlamov,0.06,0.013,0.52,2.87
2015-16,Frederik Andersen,0.04,-0.035,0.27,2.34
2015-16,Antti Niemi,0.00,-0.106,0.01,2.69
2015-16,Devan Dubnyk,0.00,-0.070,0.04,2.35
2015-16,Jonathan Bernier,-0.02,0.039,-0.09,2.86
2015-16,Ryan Miller,-0.02,-0.009,-0.16,2.68
2015-16,Craig Anderson,-0.03,-0.062,-0.31,2.75
2015-16,Mike Smith,-0.03,0.014,-0.16,2.60
2015-16,Louis Domingue,-0.08,-0.051,-0.51,2.66
2015-16,Kari Lehtonen,-0.09,0.078,-0.57,2.67
2015-16,John Gibson,-0.09,0.014,-0.60,1.97
2015-16,Eddie Lack,-0.09,0.043,-0.51,2.72
2015-16,Sergei Bobrovsky,-0.10,0.070,-0.58,2.65
2015-16,Karri Ramo,-0.20,-0.020,-1.19,2.43
2015-16,Jimmy Howard,-0.21,-0.013,-1.16,2.59
2015-16,Mike Condon,-0.24,-0.113,-2.11,2.47
2015-16,Michael Hutchinson,-0.24,-0.101,-1.06,2.60
2015-16,Pekka Rinne,-0.38,-0.186,-4.09,2.10
