Season,Name,GAA Better Than Expected,High Danger Unblocked Shot Attempt Save % Above Expected,Wins Above Replacement,xGAA
2012-13,Kari Lehtonen,0.61,0.028,3.35,3.27
2012-13,Unknown,-0.92,-0.114,-3.45,2.51
2012-13,Craig Anderson,0.57,0.033,2.24,2.26
2012-13,Tuukka Rask,0.55,0.016,3.20,2.54
2012-13,James Reimer,0.37,0.082,1.92,2.83
2012-13,Ben Bishop,0.34,-0.073,1.20,3.02
2012-13,Devan Dubnyk,0.34,-0.026,1.97,2.91
2012-13,Ray Emery,0.33,0.064,1.04,2.27
2012-13,Jimmy Howard,0.26,0.023,1.74,2.39
2012-13,Ryan Miller,0.23,-0.047,1.44,3.04
2012-13,Corey Crawford,0.23,-0.075,1.13,2.17
2012-13,Cory Schneider,0.22,-0.048,1.06,2.33
2012-13,Henrik Lundqvist,0.20,-0.030,1.45,2.25
2012-13,Sergei Bobrovsky,0.19,0.006,1.14,2.19
2012-13,Viktor Fasth,0.18,0.012,0.70,2.36
2012-13,Antti Niemi,0.16,-0.043,1.11,2.32
2012-13,Braden Holtby,0.08,0.040,0.46,2.66
2012-13,Marc-Andre Fleury,0.05,-0.006,0.28,2.44
2012-13,Mike Smith,-0.04,0.002,-0.22,2.54
2012-13,Jonas Hiller,-0.05,0.039,-0.21,2.31
2012-13,Ilya Bryzgalov,-0.07,-0.032,-0.46,2.72
2012-13,Evgeni Nabokov,-0.13,-0.017,-0.91,2.36
2012-13,Joey MacDonald,-0.17,-0.055,-0.52,2.76
2012-13,Anders Lindback,-0.18,-0.097,-0.67,2.71
2012-13,Martin Brodeur,-0.21,-0.083,-1.01,2.02
2012-13,Brian Elliott,-0.23,-0.153,-0.79,2.12
2012-13,Jonathan Quick,-0.23,-0.047,-1.34,2.22
2012-13,Semyon Varlamov,-0.24,-0.049,-1.32,2.77
2012-13,Niklas Backstrom,-0.26,-0.138,-1.72,2.24
2012-13,Carey Price,-0.28,-0.035,-1.71,2.33
2012-13,Ondrej Pavelec,-0.30,-0.041,-2.15,2.49
2012-13,Pekka Rinne,-0.32,-0.087,-2.14,2.13
2012-13,Jacob Markstrom,-0.43,0.020,-1.51,2.79
2012-13,Miikka Kiprusoff,-0.92,-0.114,-3.45,2.51
