Player,Game Date,Team,S/C,GP,GS,CG,IG,CG%,GS > .900,GS > .900 %,GF,GA,GFA,GAA,ROW,ROL,SA/60,Sv%,TOI
Jeremy Swayman,2023-03-02,BOS,L,1,1,1,0,100,1,100,7,1,7,1,1,0,27,0.963,60:00
Linus Ullmark,2023-03-04,BOS,L,1,1,1,0,100,1,100,4,2,4.01,2,1,0,26,0.923,59:55
Jeremy Swayman,2023-03-09,BOS,L,1,1,1,0,100,0,0,2,3,2.06,3.1,0,1,22.7,0.864,58:09
Linus Ullmark,2023-03-11,BOS,L,1,1,1,0,100,1,100,3,2,3,2,1,0,31,0.935,60:00
Jeremy Swayman,2023-03-12,BOS,L,1,1,1,0,100,0,0,3,4,3.1,4.13,0,1,25.8,0.84,58:07
Linus Ullmark,2023-03-14,BOS,L,1,1,1,0,100,0,0,3,5,3.03,5.05,0,1,28.3,0.821,59:21
Jeremy Swayman,2023-03-16,BOS,L,1,1,1,0,100,1,100,3,0,3,0,1,0,36,1,60:00
Linus Ullmark,2023-03-18,BOS,L,1,1,1,0,100,1,100,5,2,5,2,1,0,31,0.935,60:00
Jeremy Swayman,2023-03-19,BOS,L,1,1,1,0,100,1,100,7,0,7.06,0,1,0,26.2,1,59:29
Linus Ullmark,2023-03-21,BOS,L,1,1,1,0,100,1,100,2,1,2,1,1,0,41,0.976,60:00
Jeremy Swayman,2023-03-23,BOS,L,1,1,1,0,100,1,100,4,2,4,2,1,0,31,0.935,60:00
Linus Ullmark,2023-03-25,BOS,L,1,1,1,0,100,1,100,2,1,2,1,1,0,27,0.963,60:00
Jeremy Swayman,2023-03-26,BOS,L,1,1,1,0,100,1,100,3,3,2.77,2.77,0,0,34.2,0.919,65:00
Linus Ullmark,2023-03-28,BOS,L,1,1,1,0,100,1,100,0,1,0,1.04,0,1,22.8,0.955,57:57
Linus Ullmark,2023-03-30,BOS,L,1,1,1,0,100,1,100,2,1,1.98,0.99,1,0,25.7,0.962,60:39
Jeremy Swayman,2023-04-01,BOS,L,1,1,1,0,100,0,0,4,3,4,3,1,0,24,0.875,59:56
Linus Ullmark,2023-04-02,BOS,L,1,1,1,0,100,1,100,3,3,2.8,2.8,0,0,35.4,0.921,64:22
Jeremy Swayman,2023-04-06,BOS,L,1,1,1,0,100,1,100,2,1,1.92,0.96,1,0,30.7,0.969,62:30
Linus Ullmark,2023-04-08,BOS,L,1,1,1,0,100,1,100,2,1,2,1,1,0,30,0.967,60:00
Jeremy Swayman,2023-04-09,BOS,L,1,1,1,0,100,1,100,5,3,5,3,1,0,37,0.919,60:00
Linus Ullmark,2023-04-11,BOS,L,1,1,0,1,0,1,100,4,2,4.77,2.38,1,0,25,0.905,50:21
Jeremy Swayman,2023-04-11,BOS,L,1,0,0,0,--,0,--,1,0,6.22,0,0,0,37.3,1,9:39
Jeremy Swayman,2023-04-13,BOS,L,1,1,1,0,100,0,0,5,4,5,4,1,0,34,0.882,60:00
