Season,Name,GAA Better Than Expected,High Danger Unblocked Shot Attempt Save % Above Expected,Wins Above Replacement,xGAA
2021-22,Igor Shesterkin,0.67,0.078,5.68,2.74
2021-22,Unknown,-0.65,-0.044,-5.62,2.51
2021-22,Andrei Vasilevskiy,0.45,0.036,4.73,2.94
2021-22,Frederik Andersen,0.54,0.083,4.64,2.71
2021-22,Sergei Bobrovsky,0.46,0.085,3.90,3.12
2021-22,Darcy Kuemper,0.39,0.052,3.49,2.93
2021-22,Juuse Saros,0.32,0.028,3.45,2.96
2021-22,Jonathan Quick,0.40,0.081,2.97,2.99
2021-22,Connor Hellebuyck,0.26,0.028,2.78,3.22
2021-22,Ville Husso,0.35,0.052,2.26,2.91
2021-22,Ilya Sorokin,0.25,0.087,2.13,2.65
2021-22,Tristan Jarry,0.22,0.076,2.13,2.65
2021-22,Jacob Markstrom,0.18,0.010,1.81,2.40
2021-22,Thatcher Demko,0.17,0.030,1.75,2.89
2021-22,Anton Forsberg,0.20,0.032,1.41,3.02
2021-22,Robin Lehner,0.14,0.044,1.01,2.97
2021-22,Linus Ullmark,0.15,-0.010,0.95,2.59
2021-22,Kaapo Kahkonen,0.16,-0.078,0.86,3.03
2021-22,Jeremy Swayman,0.10,0.008,0.69,2.51
2021-22,Elvis Merzlikins,0.07,0.075,0.67,3.29
2021-22,Spencer Knight,0.14,0.107,0.66,2.93
2021-22,Scott Wedgewood,0.05,-0.036,0.27,3.18
2021-22,Jake Oettinger,0.03,0.066,0.24,2.56
2021-22,Semyon Varlamov,0.02,0.023,0.12,2.94
2021-22,James Reimer,0.00,0.039,0.02,2.90
2021-22,Jake Allen,-0.07,0.011,-0.36,3.23
2021-22,Jack Campbell,-0.05,-0.010,-0.39,2.59
2021-22,Vitek Vanecek,-0.14,-0.038,-0.89,2.53
2021-22,Cam Talbot,-0.12,-0.008,-0.97,2.64
2021-22,Carter Hart,-0.15,-0.032,-1.09,3.01
2021-22,Mikko Koskinen,-0.16,0.014,-1.14,2.95
2021-22,Alexandar Georgiev,-0.24,-0.034,-1.14,2.69
2021-22,Alex Nedeljkovic,-0.13,-0.008,-1.16,3.18
2021-22,Jordan Binnington,-0.23,0.000,-1.37,2.90
2021-22,Cal Petersen,-0.23,0.066,-1.40,2.66
2021-22,Craig Anderson,-0.28,-0.008,-1.45,2.84
2021-22,Martin Jones,-0.28,0.019,-1.57,3.14
2021-22,Dustin Tokarski,-0.39,-0.006,-1.79,2.88
2021-22,Ilya Samsonov,-0.31,-0.029,-2.01,2.72
2021-22,Thomas Greiss,-0.54,0.038,-2.25,3.12
2021-22,John Gibson,-0.26,0.133,-2.38,2.93
2021-22,Sam Montembeault,-0.53,0.032,-2.88,3.23
2021-22,Marc-Andre Fleury,-0.32,-0.040,-2.94,2.58
2021-22,Karel Vejmelka,-0.50,-0.033,-3.87,3.18
2021-22,Kevin Lankinen,-0.95,-0.026,-4.77,2.56
2021-22,Philipp Grubauer,-0.65,-0.044,-5.62,2.51
