Season,Name,GAA Better Than Expected,High Danger Unblocked Shot Attempt Save % Above Expected,Wins Above Replacement,xGAA
2019-20,Connor Hellebuyck,0.44,0.017,4.04,3.00
2019-20,Unknown,-0.74,-0.059,-3.43,2.61
2019-20,Tuukka Rask,0.44,0.094,2.95,2.57
2019-20,Jaroslav Halak,0.27,0.065,1.39,2.69
2019-20,Anton Khudobin,0.29,0.020,1.34,2.50
2019-20,Mackenzie Blackwood,0.18,0.032,1.31,2.95
2019-20,Carter Hart,0.18,0.049,1.15,2.56
2019-20,Jonathan Bernier,0.11,0.011,0.76,3.10
2019-20,Antti Raanta,0.13,-0.054,0.64,2.79
2019-20,Andrei Vasilevskiy,0.07,0.049,0.63,2.62
2019-20,Corey Crawford,0.08,0.094,0.50,2.87
2019-20,Robin Lehner,0.07,-0.005,0.39,2.96
2019-20,Semyon Varlamov,0.05,0.029,0.36,2.70
2019-20,Philipp Grubauer,0.05,0.048,0.28,2.68
2019-20,Juuse Saros,0.05,0.044,0.28,2.75
2019-20,Jacob Markstrom,0.02,0.015,0.17,2.77
2019-20,Jordan Binnington,0.01,0.041,0.06,2.59
2019-20,Ben Bishop,0.00,0.001,0.03,2.50
2019-20,Pavel Francouz,0.00,0.013,0.00,2.47
2019-20,Alexandar Georgiev,-0.00,0.084,-0.01,3.04
2019-20,Mikko Koskinen,-0.00,-0.010,-0.02,2.77
2019-20,Tristan Jarry,-0.01,0.061,-0.06,2.45
2019-20,Aaron Dell,-0.05,-0.026,-0.27,2.96
2019-20,Elvis Merzlikins,-0.07,0.047,-0.36,2.27
2019-20,Petr Mrazek,-0.07,0.060,-0.45,2.62
2019-20,Henrik Lundqvist,-0.12,-0.023,-0.54,3.03
2019-20,Marc-Andre Fleury,-0.13,-0.049,-1.05,2.66
2019-20,Linus Ullmark,-0.19,-0.089,-1.06,2.54
2019-20,Brian Elliott,-0.23,0.062,-1.10,2.60
2019-20,Craig Anderson,-0.22,-0.052,-1.11,3.07
2019-20,Joonas Korpisalo,-0.20,-0.048,-1.21,2.39
2019-20,David Rittich,-0.18,0.003,-1.41,2.77
2019-20,Carey Price,-0.16,0.016,-1.56,2.64
2019-20,Thomas Greiss,-0.36,-0.053,-1.58,2.42
2019-20,Carter Hutton,-0.37,-0.018,-1.85,2.80
2019-20,Alex Stalock,-0.32,-0.088,-1.91,2.36
2019-20,Mike Smith,-0.34,-0.033,-2.03,2.61
2019-20,Jonathan Quick,-0.31,0.013,-2.15,2.51
2019-20,Sergei Bobrovsky,-0.28,0.043,-2.15,3.02
2019-20,Frederik Andersen,-0.28,-0.025,-2.38,2.61
2019-20,Martin Jones,-0.44,-0.008,-2.85,2.59
2019-20,Braden Holtby,-0.38,-0.001,-2.87,2.73
2019-20,Pekka Rinne,-0.53,-0.091,-2.88,2.67
2019-20,John Gibson,-0.36,-0.007,-3.00,2.63
2019-20,Matt Murray,-0.55,0.014,-3.42,2.31
2019-20,Devan Dubnyk,-0.74,-0.059,-3.43,2.61
